Last Updated At 2026-01-16T18:24:18Z
DATASOURCE (255)                              KIND              HOSTNAME                                                                        PORT OVERRIDE    ROLE
artifactory-reader                            Postgres          artifactory.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                       20720            artifactory-reader
b2b-maintain                                  Maria             b2b.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                               13330            b2b-maintain
b2b-reader                                    Maria             b2b.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                               10702            b2b-reader
b2b-solution-server                           Maria             b2b.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                               13313            b2b-solution-server
b2b-writer                                    Maria             b2b.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                               13311            b2b-writer
bi-tableau-readonly                           Postgres          172.30.0.137:8060                                                               12300            bi-tableau-readonly
casey-maintain                                Postgres          casey.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                             20670            casey-maintain
clickhouse-core-services-maintain-http        ClickhouseHTTP    http://clickhouse-core-services.use1-az6.stackadapt:8123:0                      20605            clickhouse-core-services-maintain
clickhouse-core-services-maintain-tcp         ClickhouseTCP     clickhouse-core-services.use1-az6.stackadapt:9000                               20604            clickhouse-core-services-maintain
clickhouse-core-services-reader-http          ClickhouseHTTP    http://clickhouse-core-services.use1-az6.stackadapt:8123:0                      20602            clickhouse-core-services-reader
clickhouse-core-services-reader-tcp           ClickhouseTCP     clickhouse-core-services.use1-az6.stackadapt:9000                               20601            clickhouse-core-services-reader
clickhouse-data-science-maintain-http         ClickhouseHTTP    http://clickhouse-data-science.use1-az6.stackadapt:8123:0                       20624            clickhouse-data-science-maintain
clickhouse-data-science-maintain-tcp          ClickhouseTCP     clickhouse-data-science.use1-az6.stackadapt:9000                                20623            clickhouse-data-science-maintain
clickhouse-data-science-reader-http           ClickhouseHTTP    http://clickhouse-data-science.use1-az6.stackadapt:8123:0                       20621            clickhouse-data-science-reader
clickhouse-data-science-reader-tcp            ClickhouseTCP     clickhouse-data-science.use1-az6.stackadapt:9000                                20620            clickhouse-data-science-reader
clickhouse-integrations-maintain-http         ClickhouseHTTP    http://clickhouse-integrations.use1-az6.stackadapt:8123:0                       20694            clickhouse-integrations-maintain
clickhouse-integrations-maintain-tcp          ClickhouseTCP     clickhouse-integrations.use1-az6.stackadapt:9000                                20693            clickhouse-integrations-maintain
clickhouse-integrations-reader-http           ClickhouseHTTP    http://clickhouse-integrations.use1-az6.stackadapt:8123:0                       20691            clickhouse-integrations-reader
clickhouse-integrations-reader-tcp            ClickhouseTCP     clickhouse-integrations.use1-az6.stackadapt:9000                                20690            clickhouse-integrations-reader
commons-directus-writer                       Maria             commons.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13322            commons-directus-writer
commons-maintain                              Maria             commons.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13320            commons-maintain
commons-pg-e2e-grafana-writer                 Postgres          commons-pg.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                        13325            commons-pg-e2e-grafana-writer
commons-pg-maintain                           Postgres          commons-pg.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:5432                        13326            commons-pg-maintain
commons-reader                                Maria             commons.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13327            commons-reader
commons-shopify-integration-reader            Maria             commons.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13331            commons-shopify-integration-reader
conv-ap-maintain                              Mysql             tidb-conv-tiproxy.apse1-az2.stackadapt:5678                                     13329            conv-maintain
conv-ap-reader                                Mysql             tidb-conv-tiproxy.apse1-az2.stackadapt:5678                                     13308            conv-reader
conv-ap-root                                  Mysql             tidb-conv-tiproxy.apse1-az2.stackadapt:5678                                     13307            conv-root
conv-east-bi-airflow                          Mysql             tidb-conv-tiproxy.use1-az6.stackadapt:5678                                      11203            conv-bi-airflow
conv-east-maintain                            Mysql             tidb-conv-index.us-east-1.stackadapt:5678                                       11201            conv-maintain
conv-east-reader                              Mysql             tidb-conv-tiproxy.use1-az6.stackadapt:5678                                      11200            conv-reader
conv-east-root                                Mysql             tidb-conv-index.us-east-1.stackadapt:5678                                       11202            conv-root
conv-eu-maintain                              Mysql             tidb-conv-tiproxy.euc1-az2.stackadapt:5678                                      13328            conv-maintain
conv-eu-reader                                Mysql             tidb-conv-tiproxy.euc1-az2.stackadapt:5678                                      13319            conv-reader
conv-eu-root                                  Mysql             tidb-conv-tiproxy.euc1-az2.stackadapt:5678                                      13318            conv-root
conv-path-east-reader                         Mysql             tidb-conv-tiproxy.use1-az6.stackadapt:5678                                      11204            conv-path-east-reader
conv-west-maintain                            Mysql             tidb-conv-index.us-west-1.stackadapt:5678                                       11301            conv-maintain
conv-west-reader                              Mysql             tidb-conv-tiproxy.usw1-az1.stackadapt:5678                                      11303            conv-reader
conv-west-root                                Mysql             tidb-conv-index.us-west-1.stackadapt:5678                                       11302            conv-root
core-services-staging-writer                  Mysql             core-services-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306             20711            core-services-staging-writer
daily-0-admin                                 Redshift          stackadapt-rs-dev-0.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          15441            daily-admin
daily-0-bi-airflow                            Redshift          stackadapt-rs-dev-0.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16450            daily-bi-airflow
daily-0-read-only                             Redshift          stackadapt-rs-dev-0.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16441            daily-read-only
daily-1-admin                                 Redshift          stackadapt-rs-dev-1.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          15442            daily-admin
daily-1-bi-airflow                            Redshift          stackadapt-rs-dev-1.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16451            daily-bi-airflow
daily-1-read-only                             Redshift          stackadapt-rs-dev-1.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16442            daily-read-only
daily-2-admin                                 Redshift          stackadapt-rs-dev-2.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          15444            daily-admin
daily-2-bi-airflow                            Redshift          stackadapt-rs-dev-2.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16452            daily-bi-airflow
daily-2-read-only                             Redshift          stackadapt-rs-dev-2.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16444            daily-read-only
daily-3-admin                                 Redshift          stackadapt-rs-dev-3.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          15445            daily-admin
daily-3-bi-airflow                            Redshift          stackadapt-rs-dev-3.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16453            daily-bi-airflow
daily-3-read-only                             Redshift          stackadapt-rs-dev-3.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439          16445            daily-read-only
daily-admin                                   Redshift          stackadapt-rs-dev.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439            20102            daily-admin
daily-read-only                               Redshift          stackadapt-rs-dev.cefdkgai6k4k.us-east-1.redshift.amazonaws.com:5439            20100            daily-read-only
data-keys-reader                              Maria             data-keys.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                         13315            data-keys-reader
data-keys-writer                              Maria             data-keys.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                         13317            data-keys-writer
direct-mail-store-reader                      Mysql             tidb-direct-mail-store-tidb.use1-az6.stackadapt:5678                            20660            direct-mail-store-reader
direct-mail-store-staging-reader              Mysql             tidb-direct-mail-store-staging-tidb.us-east-1.stackadapt:5678                   20667            direct-mail-store-staging-reader
direct-mail-store-staging-writer              Mysql             tidb-direct-mail-store-staging-tidb.us-east-1.stackadapt:5678                   20668            direct-mail-store-staging-writer
direct-mail-store-writer                      Mysql             tidb-direct-mail-store-tidb.use1-az6.stackadapt:5678                            20661            direct-mail-store-writer
directus-reader                               Maria             directus.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                          20500            directus-reader
directus-writer                               Maria             directus.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                          20501            directus-writer
domain-info-bi-server                         Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10906            domain-info-bi-server
domain-info-ds-team-read-only                 Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10904            domain-info-ds-team-read-only
domain-info-maintain                          Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10901            domain-info-maintain
domain-info-pq-team-read-only                 Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10905            domain-info-pq-team-read-only
domain-info-product-team-read-only            Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10907            domain-info-product-team-read-only
domain-info-reader                            Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10900            domain-info-reader
domain-info-writer                            Maria             domain-info.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                       10902            domain-info-writer
email-store-reader                            Mysql             tidb-email-store-tidb.use1-az6.stackadapt:5678                                  20590            email-store-reader
email-store-staging-reader                    Mysql             tidb-email-store-staging-tidb.use1-az6.stackadapt:5678                          20592            email-store-staging-reader
email-store-staging-writer                    Mysql             tidb-email-store-staging-tidb.use1-az6.stackadapt:5678                          20593            email-store-staging-writer
email-store-writer                            Mysql             tidb-email-store-tidb.use1-az6.stackadapt:5678                                  20591            email-store-writer
es-analytics                                  Elastic           es-analytics.us-east-1a.stackadapt.dev:9200                                     19242            es-analytics
es-bid-price                                  Elastic           es-bid-price.us-east-1a.stackadapt:9200                                         19250            es-bid-price
es-bid-stream                                 Elastic           elastic-bid-stream.us-east-1a.stackadapt:9200                                   19220            es-bid-stream
es-events                                     Elastic           es-events.us-east-1a.stackadapt.dev:9200                                        19262            es-events
es-forecasting-tester                         Elastic           es-forecasting-tester-master.us-east-1a.stackadapt:9200                         19260            es-forecasting-tester
es-forecasting-user-profile                   Elastic           es-forecasting-user-profile.us-east-1a.stackadapt.dev:9200                      19230            es-forecasting-user-profile
es-pixel-analytics                            Elastic           es-pixel-analytics.us-east-1a.stackadapt.dev:9200                               19222            es-pixel-analytics
es-request-main                               Elastic           elastic-requests.us-east-1a.stackadapt:9200                                     19252            es-request-main
es-requests-ap                                Elastic           es-requests.ap-southeast-1a.stackadapt.dev:9200                                 19206            es-requests
es-requests-east                              Elastic           es-requests.us-east-1a.stackadapt.dev:9200                                      19200            es-requests
es-requests-eu                                Elastic           es-requests.eu-central-1a.stackadapt.dev:9200                                   19204            es-requests
es-requests-west                              Elastic           es-requests.us-west-1a.stackadapt.dev:9200                                      19202            es-requests
